"Time","Events","Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","A1","T3","C3","Cz","C4","T4","A2","CP5","CP1","CP2","CP6","T5","P3","Pz","P4","T6","POz","O1","Oz","O2","AF7","AF3","AF4","AF8","F5","F1","F2","F6","FC3","FCz","FC4","C5","C1","C2","C6","CP3","CPz","CP4","P5","P1","P2","P6","PO5","PO3","PO4","PO6","FT7","FT8","TP7","TP8","PO7","PO8","BIP65","BIP66","BIP67","BIP68","AUX69","AUX70","AUX71","AUX72","Digi","Saw"
1:05:07.128,,-3514.2554,-2811.1873,-3143.0349,-1748.9809,-1393.3367,10903.2286,-1414.945,-1060.9191,-898.9216,8950.6152,696.1351,-2098.4093,1755.0312,-1542.9026,-152.8393,-139.4698,3208.2274,-3852.0797,-3045.6414,-4674.4621,-285.8725,3101.3447,2193.3569,-41.0649,315.9954,-4603.4032,1653.8495,2864.9413,789.2988,226.1602,296.741,532.9238,-2018.2657,-2771.9798,-3006.9121,-2171.3625,-1787.3793,2789.1193,354.5224,-1831.4785,1232.1484,12172.1018,-1799.2408,-1786.0368,5346.3959,-1110.4618,-3051.1033,-2151.2438,-1007.3122,10264.452,-198.1339,1464.6164,-2754.1599,2837.8712,-852.4868,596.0935,-4269.9557,827.4397,-3605.5066,-2619.159,-1625.7679,1323.5835,-545.6129,689.2572,7087.414,4661.111,-39492224,-39492224,38.7431,714.0533,-1048573.3125,-1048573.3125,200,11020
1:05:07.129,,-3516.4438,-2810.8011,-3143.2923,-1748.797,-1393.5942,10904.2217,-1415.1105,-1058.5284,-901.7536,8949.9532,698.5441,-2098.9426,1768.0881,-1536.4661,-152.3611,-138.6054,3207.4734,-3856.3278,-3041.3014,-4674.6644,-284.3462,3103.1837,2201.283,-43.0878,314.6529,-4605.0215,1652.1024,2868.2147,785.1059,222.6293,290.5804,528.6389,-2018.8174,-2772.3293,-3004.8892,-2171.9509,-1787.9493,2789.4871,356.5637,-1830.2463,1229.7025,12172.3409,-1799.6822,-1782.6162,5346.304,-1109.5423,-3057.0984,-2151.1335,-1007.2203,10264.5991,-198.3729,1464.2486,-2753.5347,2841.4021,-848.6433,591.9189,-4272.3832,824.2582,-3608.5777,-2621.9542,-1628.8207,1330.2039,-544.1969,684.77,7106.7051,4663.8879,-39492224,-39492224,38.8881,714.069,-1048573.3125,-1048573.3125,200,11021
1:05:07.129,,-3514.0163,-2810.0471,-3141.0304,-1747.7488,-1390.5782,10905.0492,-1411.7267,-1055.7331,-897.1929,8953.6496,700.0705,-2098.1886,1789.0527,-1533.0272,-150.706,-136.417,3208.4113,-3862.1942,-3051.563,-4672.8254,-281.1463,3104.9492,2198.8555,-31.3182,318.6251,-4606.6398,1649.0129,2859.9208,784.9588,214.0596,283.8864,512.8419,-2020.1047,-2770.288,-3006.8753,-2173.0176,-1786.423,2791.6204,357.428,-1832.5635,1235.7528,12176.589,-1798.45,-1781.2186,5347.7936,-1107.8136,-3055.0387,-2148.8531,-1005.9146,10265.4267,-185.6287,1465.5175,-2757.3598,2831.8761,-841.4896,590.2087,-4277.5691,808.6267,-3615.5108,-2620.8324,-1635.5698,1325.7535,-534.0456,667.4467,7127.9456,4661.8282,-39492224,-39492224,38.8158,714.1564,-1048573.3125,-1048573.3125,200,11022
1:05:07.130,,-3513.4463,-2809.569,-3139.835,-1744.457,-1391.2219,10902.8976,-1408.7108,-1053.2505,-896.3102,8955.6541,700.1073,-2097.9864,1801.5212,-1529.8089,-149.2532,-131.5253,3207.8228,-3870.6536,-3069.291,-4672.6415,-278.5165,3110.3558,2193.2649,-32.2009,320.5009,-4604.3962,1650.6312,2866.0079,785.4737,211.8528,285.0266,508.0789,-2018.2473,-2772.5867,-3008.5672,-2173.3854,-1789.2734,2792.6134,358.9544,-1831.9566,1235.6609,12176.0557,-1797.4202,-1779.9313,5349.8165,-1105.3861,-3052.0779,-2146.9957,-1005.179,10266.8059,-188.4423,1466.4554,-2758.7574,2835.7012,-837.9771,592.3971,-4279.6104,804.1579,-3619.0232,-2619.5084,-1643.3304,1317.3676,-534.5605,660.9366,7138.3543,4652.1367,-39492224,-39492224,38.7831,714.4791,-1048573.3125,-1048573.3125,200,11023
1:05:07.130,,-3515.1197,-2809.3667,-3142.5016,-1746.7925,-1392.4356,10903.0631,-1409.4096,-1053.3608,-897.8917,8954.2932,701.4865,-2097.3611,1815.5343,-1525.3034,-149.382,-131.231,3210.2319,-3876.0603,-3075.8562,-4673.3035,-280.1533,3110.0616,2187.5824,-43.0694,315.8299,-4603.6054,1657.8401,2880.0211,788.4712,211.6873,287.9874,513.1729,-2019.9944,-2773.7085,-3011.1786,-2174.4888,-1790.0642,2792.3008,359.1383,-1833.1704,1234.5207,12176.4971,-1797.8432,-1779.4716,5351.2877,-1104.0069,-3045.7518,-2148.0255,-1004.5354,10268.6817,-200.4878,1464.6531,-2755.8518,2848.9972,-844.3768,592.3603,-4275.2888,809.6014,-3625.0736,-2619.6371,-1649.3807,1311.6116,-537.7236,665.9019,7139.8439,4653.2952,-39492224,-39492224,38.7855,714.465,-1048573.3125,-1048573.3125,200,11024
1:05:07.131,,-3518.8161,-2813.5045,-3142.5751,-1751.0038,-1397.3457,10899.8633,-1409.2625,-1052.4045,-901.0732,8951.2221,701.744,-2099.5311,1809.8151,-1536.9994,-156.4989,-133.07,3212.8617,-3868.8514,-3053.825,-4683.4364,-282.1945,3113.3902,2198.8187,-58.425,309.4669,-4600.0194,1667.0719,2898.2272,788.1954,212.7539,285.6886,529.7975,-2023.985,-2777.7543,-3013.6796,-2177.2656,-1793.4112,2790.0572,358.4395,-1834.2921,1232.2771,12176.3499,-1798.3029,-1787.839,5348.4924,-1102.8483,-3040.198,-2152.0897,-1004.7193,10274.8791,-214.1515,1462.3912,-2749.6912,2868.1228,-845.7929,591.9189,-4269.0362,823.2835,-3631.5652,-2620.1888,-1674.0785,1321.7812,-537.8891,681.1104,7139.7335,4662.2879,-39492224,-39492224,38.9071,714.6412,-1048573.3125,-1048573.3125,200,11025
1:05:07.131,,-3519.6989,-2811.2425,-3141.1407,-1750.5441,-1396.9963,10900.1207,-1409.2809,-1050.492,-900.8893,8950.4497,703.16,-2095.5037,1804.8498,-1553.5136,-159.6252,-133.1068,3218.9304,-3855.0773,-2998.0113,-4694.544,-284.6956,3115.5418,2208.0689,-66.1672,309.0807,-4603.3664,1664.8099,2899.5329,788.1218,215.3285,285.5047,525.4391,-2023.5804,-2777.4417,-3010.6453,-2176.0519,-1793.3192,2789.2113,359.3406,-1832.4164,1229.9416,12175.3385,-1797.5121,-1801.6315,5346.2488,-1101.1196,-3030.4145,-2158.7653,-1005.7675,10277.3985,-222.8684,1462.6119,-2750.2613,2866.4677,-843.4573,591.6063,-4272.2912,817.2148,-3638.0937,-2617.1728,-1698.0039,1331.436,-536.3627,675.6302,7138.7957,4669.7911,-39492224,-39492224,38.7855,714.4303,-1048573.3125,-1048573.3125,200,11026
1:05:07.132,,-3516.1496,-2807.4909,-3137.9041,-1746.3512,-1393.2448,10901.6103,-1409.6487,-1048.3955,-896.6228,8952.4174,703.3072,-2094.29,1819.5066,-1561.4213,-160.0114,-127.8105,3218.1212,-3853.9555,-2958.8039,-4697.5232,-285.4312,3115.9096,2209.5769,-65.5052,305.6234,-4603.9181,1661.6836,2889.0138,785.9334,215.3101,285.4864,517.4946,-2019.9208,-2774.0211,-3012.8705,-2175.3163,-1794.533,2789.5791,361.1612,-1832.7106,1230.953,12178.2073,-1795.8387,-1810.0909,5346.8925,-1101.4507,-3025.0998,-2161.156,-1006.4847,10275.3205,-221.9121,1459.9821,-2752.5416,2854.7716,-846.7859,588.5168,-4279.3162,811.3852,-3633.1468,-2623.0576,-1705.9851,1329.2476,-540.2798,670.2603,7123.9733,4660.5961,-39492224,-39492224,38.6791,714.6847,-1048573.3125,-1048573.3125,200,11027
1:05:07.132,,-3514.8623,-2811.1873,-3139.5408,-1746.627,-1394.3666,10902.254,-1409.4648,-1050.4552,-897.8366,8953.245,704.2634,-2097.1772,1817.8883,-1575.2322,-161.0044,-128.4541,3221.5418,-3853.9003,-2971.4746,-4697.3577,-284.1439,3117.013,2209.6688,-68.6315,305.8625,-4604.6537,1663.1732,2885.0416,785.8047,214.0228,289.5322,525.3839,-2024.2057,-2775.8417,-3012.7417,-2174.5255,-1795.6915,2788.9354,362.2646,-1831.8831,1233.5092,12178.7958,-1796.0961,-1809.3369,5350.644,-1098.3795,-3010.9947,-2159.5745,-1006.687,10278.6307,-225.8844,1459.9269,-2751.2911,2854.2567,-853.8477,587.1007,-4277.3485,819.1274,-3629.3584,-2624.4737,-1701.1302,1327.0408,-547.268,678.3887,7112.3876,4638.5648,-39492224,-39492224,38.6576,714.8463,-1048573.3125,-1048573.3125,200,11028
1:05:07.133,,-3514.2738,-2809.0725,-3138.1615,-1744.9351,-1392.123,10907.8997,-1407.2028,-1049.3702,-895.6666,8953.5944,707.3162,-2093.5911,1812.2241,-1594.2659,-161.0964,-125.6221,3228.2909,-3844.2272,-3001.8916,-4701.3851,-285.0266,3121.7393,2207.6459,-85.4032,301.0075,-4603.2376,1666.0604,2875.9017,785.2346,220.5145,297.0169,533.0158,-2020.9323,-2775.8234,-3009.4683,-2173.2566,-1793.1353,2791.9146,364.6369,-1830.6141,1233.877,12183.4117,-1792.271,-1809.0611,5352.1152,-1095.1245,-2992.6598,-2161.2112,-1003.6159,10282.2903,-239.2355,1461.0487,-2747.7234,2844.2525,-868.0264,588.1674,-4272.4751,825.3432,-3627.5562,-2619.1406,-1707.015,1323.0869,-565.5109,683.9057,7106.3925,4613.7016,-39492224,-39492224,38.579,715.0245,-1048573.3125,-1048573.3125,200,11029
1:05:07.133,,-3511.8831,-2804.5853,-3132.5342,-1742.3421,-1391.4242,10911.4122,-1402.6972,-1045.8761,-894.6183,8956.831,711.4723,-2087.8535,1820.8123,-1615.1201,-161.0596,-124.298,3229.7805,-3840.7699,-3003.5467,-4706.4055,-283.9968,3121.8312,2198.1567,-95.7567,297.1824,-4600.8469,1664.203,2847.6363,787.6621,234.6932,311.9128,537.6316,-2020.6012,-2774.6648,-3007.2799,-2171.6751,-1793.2089,2794.103,368.7195,-1827.4511,1234.0058,12188.5425,-1787.839,-1813.6218,5354.3772,-1092.3108,-2983.6304,-2162.1491,-1002.7883,10282.8972,-253.4878,1459.081,-2747.9257,2818.1939,-874.941,588.0202,-4267.9879,832.3866,-3629.101,-2614.3224,-1713.856,1314.7195,-572.7382,691.0962,7110.659,4575.9837,-39492224,-39492224,38.5023,715.0148,-1048573.3125,-1048573.3125,200,11030
1:05:07.134,,-3512.3245,-2803.5739,-3130.64,-1743.7582,-1392.1965,10911.8168,-1400.0675,-1043.1727,-893.7356,8955.8564,712.5573,-2085.757,1842.6228,-1638.1444,-164.0756,-124.9968,3230.7368,-3839.4458,-2977.7456,-4708.2078,-283.5002,3121.114,2190.5064,-90.3501,297.495,-4600.1113,1659.4952,2820.5662,787.0368,239.0516,314.0644,543.7555,-2022.3483,-2775.29,-3008.1626,-2170.0568,-1794.8272,2794.5628,370.393,-1823.3685,1231.8725,12189.6275,-1785.1357,-1817.7963,5350.8647,-1090.8948,-2976.0721,-2163.7858,-1003.9653,10280.7087,-249.4787,1459.5775,-2748.4407,2789.4136,-867.7689,588.8294,-4268.9994,837.8852,-3637.7443,-2612.2075,-1713.7825,1308.3933,-564.242,697.4959,7109.6107,4548.5274,-39492224,-39492224,38.5668,715.2306,-1048573.3125,-1048573.3125,200,11031
1:05:07.134,,-3514.4577,-2805.1922,-3135.2191,-1744.4938,-1391.1115,10911.7432,-1403.3961,-1041.0763,-894.4528,8954.2748,709.1,-2088.6258,1871.6606,-1647.1187,-164.1859,-122.8268,3226.3784,-3839.9239,-2969.1206,-4703.7758,-283.8864,3117.9877,2182.5804,-73.3761,302.5707,-4601.932,1652.838,2807.8036,789.0781,240.3757,312.2806,540.7763,-2022.5322,-2775.3084,-3007.8316,-2173.1647,-1792.8963,2793.2203,368.0207,-1827.7085,1230.8427,12186.9794,-1788.9976,-1821.9525,5351.2693,-1091.3178,-2978.5179,-2160.5675,-1004.4986,10275.6147,-232.4496,1464.3405,-2751.144,2778.1773,-854.05,592.8936,-4273.5417,832.5521,-3641.3855,-2611.5823,-1703.3737,1302.1591,-549.2357,691.5008,7095.6527,4536.721,-39492224,-39492224,38.558,715.2467,-1048573.3125,-1048573.3125,200,11032
1:05:07.135,,-3515.5243,-2808.8334,-3134.3916,-1745.5972,-1391.6448,10911.3202,-1405.7868,-1043.8164,-896.77,8954.6978,707.1323,-2090.3177,1872.1572,-1646.2912,-164.7192,-125.3462,3223.5647,-3846.5811,-2977.4513,-4697.5416,-281.79,3117.0498,2182.3045,-62.3053,305.0717,-4601.4906,1652.1024,2830.0187,789.4827,238.8861,311.3427,532.2618,-2024.2057,-2777.552,-3010.0016,-2173.1279,-1794.6433,2791.3629,364.6921,-1830.4119,1232.9759,12183.945,-1789.8251,-1818.7894,5351.8945,-1094.7751,-2987.621,-2159.6112,-1004.8112,10272.7643,-222.7765,1463.6417,-2752.8543,2798.3695,-846.5285,595.1372,-4276.7784,825.8029,-3643.8314,-2614.3592,-1694.6937,1303.097,-540.5557,683.2253,7083.2762,4530.3765,-39492224,-39492224,38.661,715.2496,-1048573.3125,-1048573.3125,200,11033
1:05:07.135,,-3518.1725,-2806.9208,-3136.6719,-1743.6662,-1393.7229,10909.8674,-1406.9085,-1045.4347,-896.1815,8949.7877,703.8037,-2092.3958,1858.9531,-1641.9879,-162.1814,-127.2772,3221.6889,-3853.3302,-2982.3614,-4696.8427,-283.5554,3118.3187,2187.8031,-64.9167,305.6234,-4603.4399,1655.1919,2854.2199,792.0573,235.392,308.4739,532.3537,-2022.0908,-2775.7314,-3010.7188,-2176.7139,-1796.1513,2789.0458,364.3795,-1833.9795,1230.6036,12183.9266,-1794.3858,-1818.8629,5349.3383,-1093.7269,-2996.1723,-2160.8066,-1004.2779,10272.893,-223.4753,1465.4255,-2749.8751,2821.688,-842.0045,595.8728,-4273.5969,823.6513,-3644.9531,-2618.9567,-1693.9397,1309.4416,-536.9512,684.108,7084.1222,4523.5722,-39492224,-39492224,38.6332,715.3429,-1048573.3125,-1048573.3125,200,11034
1:05:07.136,,-3516.0209,-2810.0104,-3138.2719,-1745.9282,-1391.8471,10908.5066,-1408.6372,-1048.1564,-895.9976,8952.068,701.3762,-2096.0554,1849.3536,-1636.6732,-161.9791,-127.2772,3213.2295,-3860.6127,-2977.8375,-4694.4704,-282.0474,3116.8291,2191.9041,-65.1374,308.8233,-4600.2952,1655.0264,2863.7276,794.5216,237.4885,305.8993,537.2087,-2022.6425,-2776.1912,-3011.4728,-2177.5047,-1795.5444,2789.5239,362.5037,-1836.4622,1231.9461,12181.2785,-1795.5444,-1817.1711,5347.3154,-1099.6668,-3023.7757,-2160.2365,-1003.5607,10269.8954,-224.358,1466.5657,-2749.5992,2832.9611,-840.6069,599.4588,-4272.659,830.5476,-3640.8338,-2621.5497,-1689.3606,1314.0758,-534.9835,689.1652,7092.9678,4517.5219,-39492224,-39492224,38.5951,715.1139,-1048573.3125,-1048573.3125,200,11035
1:05:07.136,,-3519.4414,-2811.1322,-3139.2649,-1749.1464,-1394.5137,10903.4861,-1412.0577,-1045.9312,-898.4618,8953.999,701.2107,-2095.9635,1847.6985,-1627.5334,-158.7241,-126.0451,3207.124,-3860.5575,-2967.9069,-4686.6179,-277.8545,3116.9762,2194.3867,-57.3952,312.207,-4599.4677,1654.6218,2866.6516,797.2801,243.3549,311.6921,537.2638,-2027.994,-2780.0163,-3015.7025,-2181.4586,-1798.8914,2790.4802,361.5106,-1839.5517,1233.4173,12177.6556,-1795.3605,-1815.0378,5346.966,-1102.1495,-3057.4846,-2154.8298,-1005.6204,10264.9669,-214.7584,1465.6278,-2750.9969,2831.3244,-835.7152,601.8127,-4273.4682,830.566,-3638.4615,-2622.8737,-1685.5538,1314.6643,-530.9009,688.54,7098.6687,4500.5479,-39492224,-39492224,38.7885,714.9171,-1048573.3125,-1048573.3125,200,11036
1:05:07.137,,-3517.8966,-2812.3459,-3140.8832,-1746.7374,-1395.4516,10901.0034,-1410.5498,-1044.2578,-897.855,8953.153,699.7947,-2095.4118,1851.9098,-1616.2419,-155.9104,-127.8657,3200.9634,-3867.417,-2969.3965,-4683.2893,-276.4753,3112.0661,2192.2535,-47.8692,314.0276,-4598.585,1650.4105,2865.9344,801.5465,245.5801,311.6737,535.4616,-2028.9687,-2780.5128,-3015.2979,-2182.9114,-1800.3258,2789.9837,360.5727,-1839.2574,1234.1713,12175.2649,-1795.2686,-1811.3598,5348.4188,-1104.9264,-3084.4443,-2152.9908,-1003.8181,10256.765,-207.2001,1468.4231,-2752.5968,2832.7772,-832.5521,605.5275,-4275.8221,828.7086,-3633.3123,-2624.7311,-1678.0691,1313.1196,-527.462,687.6757,7095.7814,4484.5118,-39492224,-39492224,38.7465,715.0148,-1048573.3125,-1048573.3125,200,11037
